spu,sku,pid,pname,price
100003344497,100003344497,100003344497,['一加 OnePlus 7 Pro 2K+90Hz 流体屏 骁龙855旗舰 4800万超广角三摄 8GB+256GB 曜岩灰 全面屏拍照游戏'],['4499.00']
100003395445,100005603522,100003395445,['荣耀20 4800万超广角AI四摄 3200W美颜自拍 麒麟Kirin980全网通版8GB+128GB 幻夜黑 移动联通电信4G全面屏'],['2699.00']
100005702200,100005702210,100005702200,['OPPO K3 高通骁龙710 升降摄像头 VOOC闪充 8GB+128GB 秘境黑 全网通4G 全面屏拍照游戏智能'],['1899.00']
100000651175,100000651175,100000651175,"['OPPO K1 光感屏幕指纹 水滴屏拍照', ' 4GB+64GB 梵星蓝 全网通 移动联通电信4GB 双卡双待']",['1199.00']
100000177756,100000177760,100000177756,"['Apple iPhone XR (A2108) 128GB 黑色 移动联通电信4G', ' 双卡双待']",['5199.00']
8735304,100001270083,8735304,"['荣耀8X 千元屏霸 91%屏占比 2000万AI双摄 4GB+64GB 幻影蓝 移动联通电信4G全面屏', ' 双卡双待']",['1199.00']
100003242371,100005297918,100003242371,"['realme X 4800万双摄 升降摄像头 屏下指纹 游戏', '8GB+128GB 蒸汽白 全网通双卡']",['1799.00']
100002642218,100002881193,100002642218,['荣耀V20 胡歌同款 麒麟980芯片 魅眼全视屏 4800万深感相机 6GB+128GB 幻影蓝 移动联通电信4G全面屏'],['2399.00']
7437786,7437786,7437786,"['小米8SE 全面屏智能游戏拍照', ' 6GB+64GB 灰色 骁龙710处理器 全网通4G 双卡双待']",['1299.00']
100002425279,100003433872,100002425279,"['vivo iQOO 44W超快闪充 8GB+128GB电光蓝 全面屏拍照', ' 骁龙855电竞游戏 全网通4G']",['2998.00']
100004245926,100005088702,100004245926,"['华为 HUAWEI 畅享 9S 6GB+64GB 幻夜黑 全网通 2400万超广角三摄珍珠屏大存储 移动联通电信4G', ' 双卡双待']",['1399.00']
100000773875,100000773889,100000773875,"['vivo Z3 6GB+64GB 极光蓝 性能实力派 全面屏游戏', ' 移动联通电信全网通4G']",['1248.00']
100003475378,100002355147,100003475378,['三星 Galaxy S10 8GB+128GB皓玉白（SM-G9730）超感官全视屏骁龙855双卡双待全网通4G游戏'],['5999.00']
100002795955,100004404934,100002795955,"['华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版', '8GB+64GB亮黑色全网通双4G', '双']",['3988.00']
